datetime,Steps,FlightsClimbed,Distance,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2020-10-01 01:20:55+0200,3864,51,3.67,,,,,,,,,Awake
2020-10-02 03:35:53+0200,2993,142,2.64,,,,,,,,,Awake
2020-10-03 03:47:13+0200,1050,65,2.02,,,,,,,,,Awake
2020-10-04 06:07:37+0200,1271,87,2.35,,,,,,,,,Awake
2020-10-05 02:05:08+0200,4633,84,3.19,,,,,,,,,Awake
2020-10-06 08:06:05+0200,4302,56,3.11,,,,,,,,,Awake
2020-10-07 03:31:35+0200,8673,98,6.12,,,,,,,,,Awake
2020-10-08 06:05:24+0200,3924,60,2.89,,,,,,,,,Awake
2020-10-09 04:12:09+0200,8484,119,5.96,,,,,,,,,Awake
2020-10-10 04:09:26+0200,4794,48,3.37,,,,,,,,,Awake
